id,delivery_id,pref_id,fee,discriminator_type
"1","1","1","1000","deliveryfee"
"2","1","2","1000","deliveryfee"
"3","1","3","1000","deliveryfee"
"4","1","4","1000","deliveryfee"
"5","1","5","1000","deliveryfee"
"6","1","6","1000","deliveryfee"
"7","1","7","1000","deliveryfee"
"8","1","8","1000","deliveryfee"
"9","1","9","1000","deliveryfee"
"10","1","10","1000","deliveryfee"
"11","1","11","1000","deliveryfee"
"12","1","12","1000","deliveryfee"
"13","1","13","1000","deliveryfee"
"14","1","14","1000","deliveryfee"
"15","1","15","1000","deliveryfee"
"16","1","16","1000","deliveryfee"
"17","1","17","1000","deliveryfee"
"18","1","18","1000","deliveryfee"
"19","1","19","1000","deliveryfee"
"20","1","20","1000","deliveryfee"
"21","1","21","1000","deliveryfee"
"22","1","22","1000","deliveryfee"
"23","1","23","1000","deliveryfee"
"24","1","24","1000","deliveryfee"
"25","1","25","1000","deliveryfee"
"26","1","26","1000","deliveryfee"
"27","1","27","1000","deliveryfee"
"28","1","28","1000","deliveryfee"
"29","1","29","1000","deliveryfee"
"30","1","30","1000","deliveryfee"
"31","1","31","1000","deliveryfee"
"32","1","32","1000","deliveryfee"
"33","1","33","1000","deliveryfee"
"34","1","34","1000","deliveryfee"
"35","1","35","1000","deliveryfee"
"36","1","36","1000","deliveryfee"
"37","1","37","1000","deliveryfee"
"38","1","38","1000","deliveryfee"
"39","1","39","1000","deliveryfee"
"40","1","40","1000","deliveryfee"
"41","1","41","1000","deliveryfee"
"42","1","42","1000","deliveryfee"
"43","1","43","1000","deliveryfee"
"44","1","44","1000","deliveryfee"
"45","1","45","1000","deliveryfee"
"46","1","46","1000","deliveryfee"
"47","1","47","1000","deliveryfee"
"48","1","48","1000","deliveryfee"
"49","1","49","1000","deliveryfee"
"50","1","50","1000","deliveryfee"
"51","1","51","1000","deliveryfee"
"52","1","52","1000","deliveryfee"
"53","1","53","1000","deliveryfee"
"54","1","54","1000","deliveryfee"
"55","1","55","1000","deliveryfee"
"56","1","56","1000","deliveryfee"
"57","1","57","1000","deliveryfee"
"58","1","58","1000","deliveryfee"
"59","1","59","1000","deliveryfee"
"60","1","60","1000","deliveryfee"
"61","1","61","1000","deliveryfee"
"62","1","62","1000","deliveryfee"
"63","1","63","1000","deliveryfee"
"64","2","1","0","deliveryfee"
"65","2","2","0","deliveryfee"
"66","2","3","0","deliveryfee"
"67","2","4","0","deliveryfee"
"68","2","5","0","deliveryfee"
"69","2","6","0","deliveryfee"
"70","2","7","0","deliveryfee"
"71","2","8","0","deliveryfee"
"72","2","9","0","deliveryfee"
"73","2","10","0","deliveryfee"
"74","2","11","0","deliveryfee"
"75","2","12","0","deliveryfee"
"76","2","13","0","deliveryfee"
"77","2","14","0","deliveryfee"
"78","2","15","0","deliveryfee"
"79","2","16","0","deliveryfee"
"80","2","17","0","deliveryfee"
"81","2","18","0","deliveryfee"
"82","2","19","0","deliveryfee"
"83","2","20","0","deliveryfee"
"84","2","21","0","deliveryfee"
"85","2","22","0","deliveryfee"
"86","2","23","0","deliveryfee"
"87","2","24","0","deliveryfee"
"88","2","25","0","deliveryfee"
"89","2","26","0","deliveryfee"
"90","2","27","0","deliveryfee"
"91","2","28","0","deliveryfee"
"92","2","29","0","deliveryfee"
"93","2","30","0","deliveryfee"
"94","2","31","0","deliveryfee"
"95","2","32","0","deliveryfee"
"96","2","33","0","deliveryfee"
"97","2","34","0","deliveryfee"
"98","2","35","0","deliveryfee"
"99","2","36","0","deliveryfee"
"100","2","37","0","deliveryfee"
"101","2","38","0","deliveryfee"
"102","2","39","0","deliveryfee"
"103","2","40","0","deliveryfee"
"104","2","41","0","deliveryfee"
"105","2","42","0","deliveryfee"
"106","2","43","0","deliveryfee"
"107","2","44","0","deliveryfee"
"108","2","45","0","deliveryfee"
"109","2","46","0","deliveryfee"
"110","2","47","0","deliveryfee"
"111","2","48","0","deliveryfee"
"112","2","49","0","deliveryfee"
"113","2","50","0","deliveryfee"
"114","2","51","0","deliveryfee"
"115","2","52","0","deliveryfee"
"116","2","53","0","deliveryfee"
"117","2","54","0","deliveryfee"
"118","2","55","0","deliveryfee"
"119","2","56","0","deliveryfee"
"120","2","57","0","deliveryfee"
"121","2","58","0","deliveryfee"
"122","2","59","0","deliveryfee"
"123","2","60","0","deliveryfee"
"124","2","61","0","deliveryfee"
"125","2","62","0","deliveryfee"
"126","2","63","0","deliveryfee"
